Major,Residency ,Num_Credits,Dominant_hand,Hand_Span,GripStrength_DomHand,GripStrength_NonDomHand
Business Marketing,out of state,18,right,6.5 inches,40,39.7
Environmental science,In state,16,right,22 cm,92,70
Business Accounting,In-State,15,right,22cm,45.4lbs,46.8lbs
Marketing ,Out of state ,15,right,10 inches ,99.8lbs ,101lbs 
Business marketing ,Out of state ,15,right,18,49,47
Agriculture Business,In state,15,right,23.5,98.6,85.8
Construction engineering technology ,Out of state,18,right,19.5,109.5,101.2
Business Marketing,connecticut,16,right,21 1/2,79,80
Dietetics,Out,16,right,8.5 in,88.6lb,64.4
Business marketing ,Instate ,15,left,21 inches ,97.8,73.2
Film/Finance,Out of state,15,right,21 3/4,99.6 lbs,90 lbs
Business marketing,Out of state,15,left,19cm,67lbs,54lbs
Animal Science ,In state ,16,right,18 cm ,40.4,42.6
Finance,In state,15,right,20,101,106
dietetics,out-of-state,17,right,17,23.4,22.8
photography ,out of state ,16,right,15,37,32.2
Animal Science/Pre-Vet Med Cert. ,Out of State,17,right,20cm,43.8lbs,42.2lbs
Business,In state,15,right,24.8 cm,99.6,90.2
Nursing,Out of state (Arizona),16,right,20 cm,53.2 lbs,47.2 lbs
Business Management ,In-state (working on residency now),7,right,23 cm,69lb,62lb
Fish and wildlife ecology and management ,in state,15,left,19.5 cm,52.6 lbs,52.4 lbs
Marketing ,in state,16,right,17cm,30.6,30.4
Finance ,Out of state ,16,right,9 3/4,103.6,87.6
Business Management,In State,15,right,23.5,96,86
Pre-veterinary ,Out of state,16,right,20.5,74.8,74.6
Business marketing,In state,16,right,8 1/2 inches,92.4,86.3
